Method,Signal,First Mode Ppeak (Hz),First Mode BM,First Mode Centroid,Reconstruction MSE (Full),Reconstruction MSE (First 4 Modes)
EMD,pure_oscillations,30.0,35880.674052414135,29.99631953920088,0.5020531556456822,0.50205524143711
EMD,pure_oscillations_with_noise,30.0,35880.675572418644,29.996319523668788,1.4954834396757342,1.4955270379783239
EMD,mrw_modulated,30.0,43960615.66792648,29.997183415201768,614.9423226625698,615.0314108496023
EMD,mrw_modulated_with_noise,30.003030303030304,33305997.53225344,29.99660141310546,467.6198764553648,467.77001449221
VMD,pure_oscillations,6.0,16023.803215786947,6.002835360338057,0.5022248011693324,0.5022248011693324
VMD,pure_oscillations_with_noise,6.0,16023.132651058851,6.002822555729507,1.495655959395284,1.495655959395284
VMD,mrw_modulated,6.0,19607419.86438087,6.001296913361621,615.1739793560143,615.1739793560143
VMD,mrw_modulated_with_noise,6.003030303030303,14946589.5283143,6.002796609219433,467.7981076699197,467.7981076699197
VMDtransformer,pure_oscillations,6.0,12930.549591533283,5.999955456953286,0.5022581433216652,0.6451296523791432
VMDtransformer,pure_oscillations_with_noise,6.0,12930.502451080292,5.999955909104543,1.4956888034873632,1.6385793927680232
VMDtransformer,mrw_modulated,6.0,15396925.845176501,5.999939687662852,615.2409073389106,796.2434715526811
VMDtransformer,mrw_modulated_with_noise,5.996969696969697,11379107.615186937,5.9998981662023425,467.85457225275997,609.5815107374294
